ident;iata_code;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality
HKLY;LOY;Loyengalani Airport;2.75;36.71699905395508;1195;AF;KE;KE-400;Loyengalani
HKMA;NDE;Mandera Airport;3.933000087738037;41.849998474121094;805;AF;KE;KE-500;Mandera
HKMB;RBT;Marsabit Airport;2.344254;37.999996;4395;AF;KE;KE-400;Marsabit
HKMK;JJM;Mulika Lodge Airport;0.165083;38.195141;2000;AF;KE;KE-400;Meru-Kinna
HKML;MYD;Malindi Airport;-3.2293100357055664;40.10169982910156;80;AF;KE;KE-300;Malindi
HKMO;MBA;Moi International Airport;-4.03483;39.5942;200;AF;KE;KE-300;Mombasa
HKMS;MRE;Mara Serena Lodge Airstrip;-1.406111;35.008057;5200;AF;KE;KE-700;Masai Mara
HKMY;OYL;Moyale Airport;3.46972;39.101398;2790;AF;KE;KE-400;Moyale (Lower)
HKNI;NYE;Nyeri Airport;-0.3644140064716339;36.978485107421875;5830;AF;KE;KE-200;Nyeri
HKNK;NUU;Nakuru Airport;-0.298067;36.159302;6234;AF;KE;KE-700;Nakuru
HKNW;WIL;Nairobi Wilson Airport;-1.321720004081726;36.81480026245117;5536;AF;KE;KE-110;Nairobi
HKNY;NYK;Nanyuki Airport;-0.062399;37.041008;6250;AF;KE;KE-200;Nanyuki
HKSB;UAS;Samburu Airport;0.534069;37.531991;3295;AF;KE;KE-700;Samburu
HKUK;UKA;Ukunda Airstrip;-4.29333;39.571098;98;AF;KE;KE-300;Ukunda
HKWJ;WJR;Wajir Airport;1.73324;40.091599;770;AF;KE;KE-500;Wajir
HLGD;SRX;Gardabya Airport;31.063499450699997;16.5949993134;267;AF;LY;LY-SR;Sirt
HLGT;GHT;Ghat Airport;25.1455993652;10.142600059500001;2296;AF;LY;LY-GT;Ghat
HLKF;AKF;Kufra Airport;24.178699493408203;23.31399917602539;1367;AF;LY;LY-KF;Kufra
HLLB;BEN;Benina International Airport;32.096801757799994;20.2695007324;433;AF;LY;LY-BA;Benghazi
HLLM;MJI;Mitiga Airport;32.894100189208984;13.276000022888184;36;AF;LY;LY-TB;Tripoli
HLLQ;LAQ;Al Abraq International Airport;32.7887;21.9643;2157;AF;LY;LY-JA;Al Bayda'
HLLS;SEB;Sabha Airport;26.98699951171875;14.47249984741211;1427;AF;LY;LY-SB;Sabha
HLLT;TIP;Tripoli International Airport;32.663502;13.159;263;AF;LY;LY-TB;Tripoli
